Subject,Distance,Context,ClassRef,RT,Vis
1,6,0,1,0.72847,1
1,2,1,0,0.7743,1
1,4,1,1,1.0383,1
1,1,0,0,0.70067,1
1,1,1,0,0.75337,1
1,6,1,1,0.7632,1
1,5,0,0,1.4251,1
1,5,1,1,0.65499,1
1,1,0,0,0.58471,1
1,3,0,0,0.79679,1
1,2,0,0,0.77403,1
1,3,1,0,0.54245,1
1,4,0,1,0.67038,1
1,2,1,0,0.59108,1
1,6,0,1,0.86226,1
1,1,1,0,0.74901,1
1,4,1,0,1.3476,1
1,6,1,1,0.60808,1
1,4,0,0,0.82465,1
1,1,0,1,1.3931,1
1,3,0,0,1.3496,1
1,2,1,0,0.85139,1
1,6,1,1,0.60719,1
1,4,1,1,1.0485,1
1,6,0,1,0.64367,1
1,2,0,0,0.58034,1
1,3,1,0,1.0155,1
1,5,1,1,0.69602,1
1,1,1,0,0.57201,1
1,5,0,1,0.8818,1
1,3,1,0,1.1545,1
1,1,0,0,0.57912,1
1,2,1,0,0.57217,1
1,2,0,0,0.52148,1
1,3,0,0,0.54458,1
1,6,0,1,0.81659,1
1,4,1,0,0.7444,1
1,4,0,1,0.80108,1
1,5,0,1,0.90829,1
1,1,1,0,0.58608,1
1,6,1,1,0.72523,1
1,2,0,0,0.58602,1
1,1,0,0,0.88378,1
1,3,1,0,0.95428,1
1,3,0,0,1.0063,1
1,1,1,0,0.55205,1
1,6,1,1,0.64865,1
1,5,1,1,0.83059,1
1,6,0,1,0.74377,1
1,2,1,0,0.53582,1
1,4,0,0,0.98101,1
1,5,0,1,0.74146,1
1,4,1,0,1.0289,1
1,4,0,1,0.68397,1
1,1,0,0,0.582,1
1,2,1,0,0.71246,1
1,2,0,0,0.62837,1
1,5,1,1,0.60505,1
1,3,0,0,0.49829,1
1,6,0,1,0.73552,1
1,3,1,0,0.84939,1
1,1,1,0,0.79453,1
1,5,0,1,0.66577,1
1,4,1,0,1.0417,1
1,6,1,1,0.60299,1
1,3,0,0,0.60361,1
1,2,0,0,0.79605,1
1,4,0,0,0.89796,1
1,5,1,1,0.7013,1
1,6,1,1,0.53176,1
1,5,0,1,0.62844,1
1,1,1,0,0.53491,1
1,1,0,0,0.85158,1
1,2,1,0,0.62325,1
1,3,1,0,0.74245,1
1,6,0,1,0.63168,1
1,5,1,1,1.2436,1
1,1,1,0,0.55479,1
1,5,0,1,0.66204,1
1,6,0,1,0.6554,1
1,4,1,0,0.66385,1
1,1,0,0,0.64886,1
1,4,0,1,0.70071,1
1,3,0,0,0.53677,1
1,3,1,0,0.75199,1
1,6,1,1,0.63114,1
1,2,0,0,0.49033,1
1,1,1,0,0.60437,1
1,3,0,0,0.48012,1
1,3,1,0,0.48597,1
1,6,0,1,0.54259,1
1,1,0,0,1.1404,1
1,4,0,0,0.83638,1
1,2,1,0,0.65296,1
1,5,0,1,0.5529,1
1,4,1,0,0.67799,1
1,5,1,1,0.76399,1
1,6,1,1,0.61444,1
1,1,0,0,0.51435,1
1,3,0,0,0.66096,1
1,5,1,1,0.6383,1
1,6,1,1,0.58554,1
1,1,1,0,0.56209,1
1,4,0,0,0.91458,1
1,6,0,1,0.7398,1
1,2,0,0,0.61041,1
1,2,1,1,0.90035,1
1,5,0,1,0.74214,1
1,4,1,1,0.99278,1
1,3,1,0,0.73196,1
1,2,0,0,0.63123,1
1,5,1,1,0.64445,1
1,6,0,1,0.50553,1
1,2,1,0,0.57214,1
1,5,0,1,0.69877,1
1,1,1,0,0.50472,1
1,3,1,0,1.2232,1
1,6,1,1,0.76097,1
1,3,0,0,0.76088,1
1,1,0,0,0.68965,1
1,4,1,0,0.52407,1
1,4,0,0,0.78142,1
1,2,1,0,0.56923,1
1,2,0,0,0.50525,1
1,3,0,0,0.48172,1
1,4,1,0,0.71636,1
1,4,0,0,0.55022,1
1,6,1,1,0.6268,1
1,5,1,1,0.77415,1
1,1,1,0,0.48657,1
1,1,0,0,0.55316,1
1,6,0,1,0.64108,1
1,5,0,1,0.66965,1
1,3,1,0,0.58967,1
1,6,0,1,0.63693,1
1,5,1,1,0.53688,1
1,6,1,1,0.47722,1
1,2,0,0,0.56921,1
1,1,0,0,1.3666,1
1,5,0,1,0.85974,1
1,2,1,0,1.3176,1
1,1,1,0,0.70548,1
1,4,0,1,0.63748,1
1,3,1,0,1.0067,1
1,4,1,0,1.672,1
1,3,1,0,1.068,1
1,4,0,0,1.3337,1
1,2,0,0,0.78672,1
1,2,1,0,0.62987,1
1,3,0,0,0.98249,1
1,5,1,1,1.195,1
1,5,0,1,0.86754,1
1,1,1,0,0.7328,1
1,6,0,1,0.63803,1
1,4,1,0,1.1573,1
1,1,0,0,0.56327,1
1,6,1,1,0.88906,1
1,3,0,0,1.1236,1
1,4,0,1,0.76479,1
1,6,1,0,1.3992,1
1,5,0,1,0.67427,1
1,4,1,0,0.72955,1
1,1,0,0,1.3008,1
1,1,1,0,0.62928,1
1,5,1,1,0.62917,1
1,6,0,1,0.6578,1
1,3,1,0,0.58704,1
1,2,0,0,0.82369,1
1,3,0,0,1.2808,1
1,5,0,1,0.66468,1
1,5,1,1,0.65725,1
1,2,1,0,0.56528,1
1,6,1,1,0.73713,1
1,6,0,1,0.76171,1
1,4,1,0,0.671,1
1,1,0,0,0.63876,1
1,3,1,0,1.3121,1
1,1,1,0,0.83453,1
1,4,0,1,0.73048,1
1,5,1,1,0.68232,1
1,4,1,0,0.62023,1
1,6,0,1,0.68962,1
1,5,0,1,0.64808,1
1,1,0,0,0.6761,1
1,6,1,1,0.69867,1
1,3,1,0,0.63861,1
1,4,0,1,1.7191,1
1,3,0,0,0.71834,1
1,1,1,0,0.60747,1
1,2,0,0,0.63277,1
1,2,1,0,0.57795,1
1,4,0,0,1.3319,1
1,1,1,0,0.63842,1
1,5,1,1,0.61247,1
1,3,1,0,0.67556,1
1,6,0,1,0.67481,1
1,3,0,0,0.63238,1
1,2,1,0,0.61137,1
1,5,0,1,0.61054,1
1,6,1,1,0.67459,1
1,2,0,0,0.7004,1
1,1,0,0,0.70627,1
1,4,1,1,1.3936,1
1,2,0,0,0.55473,1
1,1,1,0,0.60875,1
1,3,0,0,0.54789,1
1,3,1,0,0.88457,1
1,4,0,0,0.86039,1
1,2,1,0,0.73225,1
1,4,1,0,0.73202,1
1,6,1,1,0.71863,1
1,6,0,1,0.78247,1
