Subject,Distance,Context,Resp13,RT,Vis
2,3,1,0,0.52432,1
2,3,1,1,0.26897,1
2,4,0,1,0.20105,1
2,1,1,1,0.25799,1
2,5,0,1,0.18327,1
2,6,0,1,0.31293,1
2,4,0,1,0.30631,1
2,2,1,1,0.23142,1
2,1,0,0,0.21868,1
2,5,1,1,0.53051,1
2,5,0,1,0.31699,1
2,6,0,1,0.22357,1
2,3,0,1,0.21399,1
2,4,1,1,0.29056,1
2,3,0,1,0.2839,1
2,6,0,1,0.81611,2
2,2,0,1,0.34316,1
2,1,1,1,0.31901,1
2,1,1,1,0.27314,1
2,4,1,1,0.3097,1
2,1,0,1,0.23887,1
2,5,0,1,0.25746,1
2,3,1,1,0.32938,1
2,6,1,1,0.20112,1
2,4,0,1,0.20982,1
2,1,0,1,0.29309,1
2,4,1,1,0.27352,1
2,6,0,1,0.27012,1
2,2,0,1,0.28549,1
2,5,0,1,0.30274,1
2,5,1,1,0.36526,1
2,5,0,1,0.43512,1
2,1,0,1,0.62442,1
2,4,0,1,0.36628,1
2,3,1,1,0.46812,1
2,2,1,1,0.32679,1
2,5,0,1,0.48468,1
2,4,0,0,0.43512,1
2,5,1,0,0.21712,1
2,4,1,1,0.2422,1
2,4,0,1,0.27429,1
2,6,1,1,0.32289,1
2,6,0,1,0.20667,1
2,2,1,1,0.20367,1
2,5,1,1,0.30584,1
2,3,0,1,0.37086,1
2,2,1,1,0.2125,1
2,4,1,1,0.24323,1
2,4,0,1,0.22791,1
2,3,1,1,0.18332,1
2,1,0,0,0.33898,1
2,6,1,1,0.40538,1
2,4,1,1,0.26806,1
2,1,1,1,0.34734,1
2,2,0,1,0.28032,1
2,3,0,1,0.29307,1
2,3,0,1,0.36813,1
2,3,1,1,0.18327,1
2,2,0,1,0.19126,1
2,3,0,1,0.26121,1
2,3,1,1,0.25781,1
2,5,1,1,0.20219,1
2,6,0,1,0.46838,1
2,2,0,1,0.18326,1
2,5,0,1,0.19676,1
2,3,1,1,0.21064,1
3,2,1,0,1.8477,1
3,1,0,0,1.476,1
3,2,1,1,1.0187,1
3,2,1,0,1.8885,1
3,4,0,0,0.75761,1
3,5,1,0,0.80613,1
3,1,1,1,0.62926,2
3,2,0,1,0.85686,2
3,4,0,1,0.57826,2
3,1,1,0,0.6889,1
3,6,0,1,0.43861,1
3,2,0,0,0.63128,1
3,3,1,1,0.5431,2
3,2,0,1,0.50111,1
3,4,1,1,0.47019,1
3,1,1,1,0.5061,1
3,4,1,1,0.80862,2
3,3,0,1,0.74308,1
3,3,1,1,0.5316,1
3,6,1,0,0.85148,1
3,6,1,1,0.72282,2
3,5,0,1,0.29471,1
3,2,0,1,0.28169,1
3,6,0,1,0.22858,1
3,6,1,0,0.36538,1
3,6,0,1,0.37166,1
3,3,0,1,0.39363,1
3,4,0,1,0.34068,1
3,2,1,1,0.76325,1
3,3,0,0,0.74712,1
3,6,0,1,1.2344,1
3,4,1,1,0.73338,1
3,1,0,0,0.50049,1
3,5,0,1,1.4689,1
3,4,0,1,0.57004,1
3,3,1,1,0.39791,2
3,3,1,0,0.39518,1
3,6,1,0,0.35648,1
3,6,1,1,0.38104,1
3,6,0,0,0.3775,1
3,3,1,1,0.29483,1
3,5,1,0,0.29525,1
3,1,1,1,0.32651,1
3,6,0,0,0.31519,1
3,1,1,1,0.32247,1
3,4,1,1,0.36897,1
3,3,1,1,0.38433,1
3,6,0,0,0.43407,1
3,6,1,1,0.44075,1
3,2,0,1,0.34727,2
3,5,0,1,0.29123,1
3,1,1,1,0.35182,1
3,4,0,1,0.34562,1
3,1,0,0,0.44204,1
3,5,0,1,0.54255,4
3,5,1,1,0.66272,1
3,4,0,0,0.62845,1
3,5,0,0,2.0265,2
3,6,0,0,0.445,1
3,6,1,0,0.34357,2
3,3,1,0,0.53329,1
3,3,1,1,0.44859,2
3,4,0,1,0.58264,2
3,2,0,1,0.37449,2
3,4,0,0,0.77154,1
3,2,1,1,0.50026,2
3,6,1,1,0.46667,2
3,3,0,0,0.51602,1
3,4,0,1,0.64581,2
3,4,0,1,0.4142,2
3,3,1,1,0.41948,2
3,1,0,1,0.70807,1
3,3,1,1,0.32661,1
3,1,0,1,0.43978,2
3,1,1,1,0.3439,1
3,2,1,1,0.36108,1
3,2,1,1,0.48377,2
3,6,0,1,0.40211,1
3,5,1,1,0.34627,1
3,2,0,0,0.44607,1
3,4,1,0,0.37716,1
3,6,1,1,0.35451,1
3,5,1,1,0.33107,1
3,1,0,1,0.35233,1
3,2,1,1,0.26811,2
3,5,1,1,0.61869,1
3,4,0,1,0.2537,1
3,4,1,1,0.2478,1
3,5,0,1,0.3604,1
3,1,0,1,0.52098,1
3,2,1,1,0.38015,1
3,6,0,1,0.24205,1
3,6,0,1,0.46466,1
3,5,0,1,0.21372,1
3,4,1,1,0.25955,1
3,3,0,1,0.30894,2
3,5,1,1,0.18327,1
3,6,0,0,0.37945,1
3,5,0,0,0.484,1
3,6,0,0,0.35398,1
3,3,1,0,0.34383,1
3,4,0,0,0.25125,1
3,1,0,1,0.28949,1
3,1,1,1,0.31872,1
3,6,0,1,0.22195,1
3,6,1,0,0.28457,1
3,6,0,1,0.49099,1
3,5,0,1,0.24767,1
3,5,1,0,0.26828,1
3,4,0,1,0.35193,2
3,3,0,0,0.30198,1
3,2,1,1,0.37048,2
3,3,0,1,0.27623,1
3,5,1,1,0.48949,1
3,1,1,1,0.27139,1
3,1,1,1,0.40798,1
3,5,0,1,0.4119,1
3,4,1,1,0.30173,1
3,3,1,0,0.37026,1
3,3,0,1,0.33685,2
3,1,0,1,0.40071,1
3,1,0,1,0.46592,1
3,3,0,0,0.59503,2
3,2,0,1,0.36038,1
3,2,1,1,0.2916,1
3,6,1,1,0.39122,1
3,1,0,1,0.39731,1
3,3,1,0,0.3584,1
3,1,0,1,0.32544,1
3,1,1,1,0.43864,1
4,5,1,0,1.844,4
4,1,0,1,1.3778,1
4,1,0,1,1.2483,1
4,3,1,1,1.2013,1
4,2,0,1,0.72465,1
4,6,1,1,0.52562,1
4,2,1,1,0.67756,1
4,1,1,1,1.0512,2
4,4,0,0,0.84988,1
4,3,1,1,1.0962,1
4,2,0,1,0.7372,1
4,3,1,1,1.303,2
4,2,1,1,0.78703,2
4,4,0,0,0.85957,2
4,2,1,1,0.61341,1
4,5,0,1,0.5105,1
4,3,0,0,0.50105,1
4,4,0,0,0.52305,1
4,1,1,1,0.8196,1
4,6,1,0,0.64278,1
