Subject,Distance,Context,Resp13,RT,Vis
1,6,1,0,0.82133,1
1,5,1,1,0.72152,1
1,4,1,0,0.76267,1
1,1,0,0,0.62049,1
1,5,1,1,0.80902,1
1,2,1,0,0.74746,1
1,3,0,0,0.7865,1
1,1,1,0,0.71373,1
1,6,0,1,0.76505,1
1,5,1,1,0.69015,1
1,4,0,1,0.71135,1
1,2,0,0,0.6912,1
1,6,0,1,0.73355,1
1,3,1,0,0.72417,1
1,1,1,0,0.7123,1
1,5,0,1,0.78139,1
1,4,1,0,1.0674,1
1,5,1,1,0.67714,1
1,6,0,1,0.69239,1
1,3,0,0,0.74936,1
1,6,0,1,0.81993,1
1,6,1,1,0.73712,1
1,6,0,1,0.55427,1
1,3,0,0,0.94882,1
1,4,1,1,1.0366,1
1,6,1,1,0.6911,1
1,3,1,1,0.7663,1
1,3,0,0,0.93345,1
1,2,0,0,0.79126,1
1,3,0,0,0.88313,1
1,5,1,1,0.769,1
1,4,0,0,0.95068,1
1,4,0,0,0.87248,1
1,2,0,0,0.77963,1
1,2,1,0,0.76205,1
1,6,0,1,0.79798,1
1,3,1,0,0.81268,1
1,1,1,0,0.81883,1
1,2,0,0,0.79713,1
1,3,1,0,0.87168,1
1,4,1,0,0.80035,1
1,5,1,1,0.74549,1
1,2,0,0,0.7441,1
1,6,0,1,0.76973,1
1,4,0,0,0.66623,1
1,1,1,0,0.70332,1
1,1,1,0,0.69442,1
1,5,1,0,0.77689,1
1,6,0,1,0.71966,1
1,2,0,0,0.73674,1
1,1,1,0,0.74525,1
1,6,0,0,0.89895,1
1,1,0,0,0.81419,1
1,1,1,0,0.9166,1
1,3,1,0,0.78719,1
1,2,0,0,0.71247,1
1,4,1,0,0.87476,1
1,5,1,1,0.80619,1
1,1,1,0,0.63717,1
1,4,0,0,0.60578,1
1,5,0,1,0.83688,1
1,4,1,0,0.58608,1
1,5,0,1,0.7704,1
1,5,1,1,0.81043,1
1,3,0,0,0.82285,1
1,3,0,0,0.82997,1
1,2,1,0,0.86655,1
1,3,0,0,0.82106,1
1,4,1,0,0.77552,1
1,3,0,0,0.87745,1
1,3,0,0,0.6166,1
1,1,1,0,0.69509,1
1,2,0,0,0.65837,1
1,6,0,1,0.66692,1
