Subject,Distance,Context,Resp13,RT,Vis
2,3,1,1,0.66597,1
2,2,1,1,0.6284,1
2,1,0,0,0.57236,2
2,3,1,1,0.62339,1
2,4,1,0,2.2394,2
2,6,0,0,1.2247,2
2,3,0,1,1.7391,1
2,3,0,0,1.0168,2
2,2,0,0,0.54165,2
2,5,0,0,0.63888,2
2,4,0,0,0.62465,2
2,2,0,0,0.60679,2
2,6,1,0,0.76903,1
2,5,0,0,0.97473,2
2,3,1,0,0.62665,2
2,1,0,1,0.80559,1
2,1,1,0,1.2472,1
2,5,1,0,0.70306,1
2,6,1,0,0.88156,1
2,6,1,0,0.64018,1
2,3,1,0,0.82374,1
2,2,1,1,0.76331,1
2,5,1,1,0.63056,1
2,4,0,0,0.71496,1
2,4,1,0,1.1082,1
2,2,0,0,0.71477,2
2,5,0,0,0.97793,1
2,3,0,0,0.80845,2
2,5,1,0,1.3602,1
2,6,0,1,0.98337,1
2,4,0,0,1.0313,1
2,6,0,0,0.84826,1
2,1,1,0,0.74954,1
2,4,0,0,0.84472,1
2,5,0,0,0.7414,2
2,4,1,1,0.63517,1
2,6,0,0,0.88087,1
2,5,1,0,0.78545,1
2,4,0,0,0.78997,1
2,1,0,0,1.1052,1
2,6,1,0,0.68909,1
2,6,0,0,0.64306,1
2,1,0,0,0.70119,1
2,2,1,1,0.77346,1
2,6,0,1,0.65418,1
2,1,0,1,0.67523,1
2,1,1,1,0.60068,1
2,3,1,1,0.71088,1
2,2,0,0,0.67405,1
2,1,1,0,0.67985,1
2,3,1,0,0.62837,1
2,6,1,0,0.56901,1
2,2,0,0,0.72056,2
2,1,0,0,1.3682,1
2,4,1,0,0.76111,1
2,3,0,0,0.64267,2
2,4,1,0,0.80526,1
2,3,1,1,0.56714,1
2,1,0,0,0.62971,1
2,4,0,0,0.65906,1
2,1,0,1,0.78969,1
2,3,1,0,0.68055,1
2,3,0,0,0.5721,1
2,6,0,1,0.62656,1
2,2,0,0,0.55172,1
2,5,0,0,0.57191,1
2,5,0,0,0.46763,1
2,5,1,0,0.45799,1
2,6,1,0,0.42147,1
2,4,1,0,0.47258,1
2,2,0,0,0.471,1
2,4,0,0,0.46718,1
2,6,1,1,0.41726,1
2,4,1,0,0.3785,1
2,5,0,0,0.31631,1
2,2,0,0,0.45292,1
2,3,0,0,0.47047,1
2,6,1,1,0.61341,1
2,2,1,1,1.7366,1
3,1,1,1,5.0461,1
3,5,1,0,0.83842,1
3,4,0,1,0.8684,1
3,3,1,0,0.18368,1
3,1,1,1,0.24155,1
3,5,0,1,0.20017,1
3,1,0,1,1.5925,1
3,6,0,0,0.47023,1
3,1,1,0,1.3905,1
3,2,0,0,1.6689,1
3,5,1,0,0.67,1
3,6,0,0,0.18369,1
3,4,0,1,0.41102,1
3,4,0,0,2.6531,1
3,3,1,0,0.59701,1
3,1,1,0,0.59543,1
3,5,1,1,0.18367,1
3,4,0,1,0.3653,1
3,4,1,0,0.41782,1
3,3,0,0,0.18368,1
3,1,1,0,2.3144,1
3,4,1,0,0.89961,1
3,4,1,1,0.60485,1
3,2,1,0,0.18368,1
3,3,0,0,0.18366,1
3,5,0,0,0.50367,1
3,2,1,0,0.61208,1
3,6,0,1,0.59544,1
3,6,1,0,0.21155,1
3,6,0,0,1.0451,1
3,1,0,0,0.18368,1
3,3,1,1,0.5808,1
3,5,1,1,0.45402,1
3,1,1,1,0.22588,1
3,5,0,0,0.29976,1
3,2,0,0,0.18369,1
3,6,0,1,0.18368,1
3,1,1,1,0.24467,1
3,5,1,1,0.18367,1
3,5,0,0,0.18368,1
3,1,0,1,0.35849,1
3,1,0,1,0.2365,1
3,3,1,0,0.3436,1
3,6,1,1,0.31152,1
3,2,1,1,0.21761,1
3,1,0,0,0.34934,1
3,1,0,0,0.63441,1
3,6,1,1,0.1879,1
3,4,0,1,0.18367,1
3,5,0,1,0.18366,1
3,1,0,0,0.26594,1
3,6,1,1,0.18366,1
3,5,1,0,0.25231,1
3,2,0,0,0.18368,1
3,4,1,0,0.19978,1
3,5,1,1,0.20271,1
3,2,0,0,0.40875,1
3,4,0,0,0.18324,1
3,5,1,0,0.18365,1
3,2,1,0,0.21622,1
3,4,1,1,0.56216,1
3,3,0,1,0.1837,1
3,2,0,0,0.18368,1
3,6,1,0,0.24627,1
3,4,1,0,0.18365,1
3,1,0,1,0.1837,1
3,5,0,1,0.18369,1
3,2,0,0,0.19206,1
3,5,0,1,0.18366,1
3,2,1,1,0.24802,1
3,3,0,0,0.18365,1
3,3,1,0,0.18365,1
3,4,1,1,0.18324,1
3,6,1,1,0.18368,1
3,1,1,0,0.29299,1
3,5,0,0,0.18366,1
3,6,0,1,0.19489,1
3,1,1,1,0.20124,1
3,3,1,0,0.25788,1
3,2,1,1,0.18327,1
3,6,0,0,0.20876,1
3,1,0,0,0.18334,1
3,4,1,1,0.24228,1
3,6,0,1,0.19744,1
3,6,1,1,0.18367,1
3,4,0,1,0.23017,1
3,3,0,0,0.18341,1
