Subject,Distance,Context,Style,Item,ClassRef,RT,Vis
1,1,0,0,8,1,0.54761,1
1,2,0,0,10,1,0.59957,1
1,2,0,0,8,1,0.56963,1
1,3,0,0,11,1,0.50601,1
1,3,0,0,8,1,0.43475,1
1,3,1,0,12,1,0.48525,1
1,2,1,0,11,1,0.7538,1
1,1,1,0,8,1,0.50053,1
1,2,1,0,7,1,0.55043,1
1,2,0,0,11,1,0.61811,1
1,1,0,0,10,1,0.59282,1
1,2,0,0,7,1,0.5674,1
1,1,1,0,9,1,0.43322,1
1,3,1,0,12,1,0.44121,1
1,1,0,0,8,1,0.57057,1
1,3,0,0,10,1,0.53026,1
1,1,0,0,9,1,0.70115,1
1,1,1,0,7,1,0.60311,1
1,2,1,0,10,1,0.50132,1
1,3,1,0,7,1,0.5967,1
1,3,1,0,9,1,0.5408,1
1,3,0,0,12,1,0.48105,1
1,1,1,0,11,1,0.43926,1
1,2,0,0,9,1,0.53755,1
1,1,0,0,11,0,0.89882,1
1,1,0,0,7,1,0.56018,1
1,3,1,0,10,1,0.46799,1
1,3,0,0,7,1,0.53052,1
1,1,1,0,8,0,0.74342,1
1,1,1,0,12,1,0.50792,1
1,2,0,0,8,1,0.46845,1
1,3,1,0,11,0,0.56103,1
1,1,0,0,12,1,0.49822,1
1,3,0,0,11,1,0.62408,1
1,3,0,0,9,1,0.50807,1
1,2,1,0,11,1,0.58264,1
1,2,1,0,7,0,0.88852,1
1,2,1,0,8,1,0.60244,1
1,2,0,0,12,1,0.5204,1
1,1,0,0,10,1,0.68035,1
1,3,1,0,8,1,0.49231,1
1,2,1,0,12,1,0.55609,1
1,2,0,0,11,1,0.54002,1
1,2,1,0,9,1,0.40403,1
1,1,1,0,10,1,0.3399,1
1,3,0,0,8,1,0.64766,1
1,2,0,0,10,1,0.53776,1
1,1,1,0,11,0,0.89524,1
1,3,1,0,8,1,0.45977,1
1,2,1,0,10,1,0.57893,1
1,1,0,0,7,1,0.86831,1
1,3,0,0,10,1,0.56339,1
1,1,1,0,9,1,0.52702,1
1,2,1,0,12,1,0.51207,1
