Subject,Distance,Context,Condition,ClassRef,RT,Vis
1,4,0,0,1,1.6128,1
1,1,0,0,0,0.50136,1
1,2,1,0,0,0.76327,1
1,2,0,0,0,0.44794,1
1,5,1,0,1,0.79019,1
1,3,0,0,1,0.70839,1
1,6,0,0,1,0.63099,1
1,3,1,0,1,0.65445,1
1,1,1,0,0,0.68539,1
1,5,0,0,1,0.74193,1
1,4,1,0,0,0.51112,1
1,6,1,0,1,0.6182,1
1,3,0,0,1,0.64232,1
1,2,0,0,0,0.66755,1
1,4,0,0,0,0.81463,1
1,5,1,0,0,0.59476,1
1,6,1,0,1,0.71799,1
1,5,0,0,1,0.53041,1
1,1,1,0,0,0.46309,1
1,1,0,0,0,0.54591,1
1,4,1,0,0,0.67823,1
1,2,1,0,0,0.51211,1
1,3,1,0,0,0.61649,1
1,6,0,0,0,0.46066,1
1,5,1,0,1,0.67268,1
1,1,1,0,0,0.66581,1
1,5,0,0,1,0.66613,1
1,6,0,0,1,0.60555,1
1,4,1,0,1,0.74566,1
1,2,1,0,0,1.1594,1
1,1,0,0,0,0.50227,1
1,4,0,0,0,0.49916,1
1,3,0,0,0,0.40833,1
1,3,1,0,0,0.47566,1
1,6,1,0,0,0.49019,1
1,2,0,0,0,0.5841,1
1,1,1,0,0,0.79201,1
1,2,0,0,1,1.1943,1
1,3,0,0,0,0.67389,1
1,3,1,0,0,0.58172,1
1,6,0,0,1,0.67064,1
1,1,0,0,0,0.57156,1
1,4,0,0,0,0.83166,1
1,2,1,0,0,0.49676,1
1,5,0,0,0,0.50863,1
1,4,1,0,0,0.51239,1
1,5,1,0,0,0.46223,1
1,6,1,0,1,0.73155,1
1,1,0,0,0,0.5609,1
1,3,0,0,0,0.78668,1
1,5,1,0,0,0.8489,1
1,6,1,0,1,0.61518,1
1,1,1,0,0,0.57749,1
1,4,0,0,0,0.635,1
1,6,0,0,1,0.59329,1
1,2,0,0,0,0.77539,1
1,2,1,0,0,0.59009,1
1,5,0,0,1,0.62235,1
1,4,1,0,1,1.0971,1
1,3,1,0,0,0.53947,1
1,5,1,0,0,0.94534,2
1,6,0,0,1,0.63639,1
1,2,1,0,1,0.61828,1
1,5,0,0,1,0.55786,1
1,1,1,0,0,0.71625,1
1,3,1,0,0,0.74814,1
1,6,1,0,1,0.72207,1
1,3,0,0,1,0.63205,1
1,1,0,0,0,0.55583,1
1,4,1,0,1,0.89291,1
1,4,0,0,0,0.71639,1
1,2,1,0,0,0.51221,1
1,2,0,0,0,0.47599,1
1,3,0,0,0,0.51805,1
1,4,1,0,0,0.41136,1
1,4,0,0,0,0.4609,1
1,6,1,0,1,0.67849,1
1,5,1,0,1,0.78644,1
1,1,1,0,0,0.5503,1
1,1,0,0,0,0.54967,1
1,6,0,0,1,0.59947,1
1,5,0,0,0,0.68849,1
1,3,1,0,0,0.51187,1
1,6,0,0,1,0.6179,1
1,5,1,0,0,0.70374,1
1,6,1,0,1,0.69843,1
1,2,0,0,0,0.49666,1
1,1,0,0,0,0.50339,1
1,5,0,0,1,0.76472,1
1,2,1,0,1,0.95524,1
1,1,1,0,0,1.0639,1
1,4,0,0,0,0.50034,1
1,3,1,0,0,0.56027,1
1,4,1,0,1,1.0033,1
1,3,0,0,1,0.59353,1
1,3,1,0,0,0.73331,1
1,4,0,0,1,0.68838,1
1,2,0,0,1,1.1518,1
1,2,1,0,0,0.5868,1
1,3,0,0,0,0.69171,1
1,5,1,0,0,0.54424,1
1,5,0,0,0,0.52598,1
1,1,1,0,0,0.47524,1
1,6,0,0,0,0.54583,1
1,4,1,0,0,0.50234,1
1,1,0,0,0,0.59305,1
1,6,1,0,1,0.62227,1
1,3,0,0,0,0.86128,1
1,2,1,0,0,0.48819,1
1,4,0,0,1,0.89674,1
1,2,0,0,1,1.7398,1
1,6,1,0,1,0.56308,1
1,5,0,0,1,0.71678,1
1,4,1,0,0,0.61418,1
1,1,0,0,0,0.42869,1
1,1,1,0,0,0.53137,1
1,5,1,0,0,0.554,1
1,6,0,0,1,0.7396,1
1,3,1,0,1,1.0376,1
1,2,0,0,0,0.77242,1
1,3,0,0,0,0.58285,1
1,5,0,0,1,0.77458,1
1,5,1,0,1,0.73802,1
1,2,1,0,0,0.63391,1
1,6,1,0,1,0.77393,1
1,6,0,0,1,0.59554,1
1,4,1,0,1,0.61081,1
1,1,0,0,0,0.44891,1
1,3,1,0,1,0.74073,1
1,1,1,0,0,0.90393,1
1,4,0,0,0,0.96047,1
1,5,1,0,1,0.78835,1
1,4,1,0,1,0.69562,1
1,6,0,0,1,0.56158,1
1,5,0,0,1,0.63019,1
1,1,0,0,0,0.63871,1
1,6,1,0,1,1.1713,1
1,3,1,0,0,0.80845,1
1,4,0,0,0,0.619,1
1,3,0,0,1,0.72031,1
1,1,1,0,0,0.54754,1
1,2,0,0,0,0.52808,1
1,2,1,0,1,1.3947,1
1,4,0,0,1,0.63654,1
1,1,1,0,0,0.56373,1
1,5,1,0,1,0.71234,1
1,3,1,0,1,0.59353,1
1,6,0,0,1,0.55753,1
1,3,0,0,0,0.58713,1
1,2,1,0,1,0.69174,1
1,5,0,0,1,0.59466,1
1,6,1,0,1,0.47381,1
1,2,0,0,1,0.64694,1
1,1,0,0,1,0.5756,1
1,4,1,0,1,0.54705,1
1,2,0,0,1,0.49816,1
1,1,1,0,1,0.52731,1
1,3,0,0,1,0.50915,1
1,3,1,0,0,1.2149,1
1,4,0,0,1,1.1231,2
1,2,1,0,1,0.60809,1
1,4,1,0,1,0.50305,1
1,6,0,0,1,0.57541,1
1,5,1,0,0,0.61565,1
1,1,0,0,0,0.57137,1
1,5,0,0,1,1.11,1
1,5,1,0,0,0.47398,1
1,3,0,0,1,0.61781,1
1,1,0,0,0,0.67525,1
1,4,0,0,0,1.2183,1
1,1,1,0,0,0.71417,1
1,2,1,0,0,0.58978,1
1,3,1,0,0,0.42064,1
1,2,0,0,0,0.46939,1
1,5,0,0,0,0.52382,1
1,6,1,0,1,0.69621,1
1,4,1,0,1,1.1029,1
1,6,0,0,1,0.57612,1
1,3,1,0,0,0.74663,1
1,5,0,0,0,0.64138,1
1,2,1,0,0,0.92318,1
1,6,0,0,1,0.6804,1
1,1,0,0,0,0.65171,1
1,1,1,0,0,0.63954,1
1,3,0,0,0,0.80426,1
1,4,1,0,0,0.48298,1
1,6,1,0,1,0.68528,1
1,5,1,0,0,0.60844,1
1,2,0,0,0,0.49507,1
1,4,0,0,1,0.62027,1
1,5,1,0,0,1.1695,1
1,3,0,0,0,0.45284,1
1,2,0,0,0,0.49133,1
1,4,1,0,0,0.41332,1
1,4,0,0,0,0.42465,1
1,1,1,0,0,0.44245,1
1,3,1,0,0,0.47705,1
1,1,0,0,0,0.54023,1
1,6,0,0,1,0.7543,1
1,5,0,0,0,0.6921,1
1,6,1,0,1,1.2667,1
1,2,1,0,0,0.50762,1
1,3,0,0,0,0.58139,1
1,3,1,0,1,0.75519,1
1,6,1,0,1,0.62487,1
1,1,0,0,0,0.48491,1
1,2,0,0,0,0.47327,1
1,1,1,0,0,0.82535,1
1,2,1,0,0,0.46598,1
1,4,0,0,1,0.71864,1
1,4,1,0,0,0.57854,1
1,5,1,0,1,0.51499,1
1,5,0,0,0,1.5784,1
1,6,0,0,1,0.60154,1
1,3,1,0,0,0.46167,1
1,2,1,0,0,0.779,1
1,6,1,0,1,0.72991,1
1,3,0,0,1,0.68445,1
1,4,1,0,1,1.3136,1
1,1,0,0,0,0.50427,1
1,2,0,0,0,0.53559,1
1,1,1,0,0,0.53929,1
1,5,0,0,0,0.63429,1
1,6,0,0,0,0.45961,1
1,5,1,0,1,0.71286,1
1,4,0,0,1,0.60225,1
1,4,1,0,1,0.87562,1
1,2,1,0,0,0.5541,1
1,3,0,0,0,0.67534,1
1,2,0,0,0,0.62385,1
1,6,0,0,1,0.60167,1
1,5,1,0,0,0.76556,1
1,3,1,0,0,0.56128,1
1,4,0,0,1,0.75852,1
1,1,1,0,0,0.71455,1
1,6,1,0,1,0.57683,1
1,5,0,0,1,0.7532,1
1,1,0,0,0,0.48177,1
1,5,1,0,1,0.645,1
1,3,0,0,1,0.85661,1
1,1,1,0,0,0.63477,1
1,5,0,0,1,0.62739,1
1,4,1,0,1,0.58854,1
1,3,1,0,0,0.61855,1
1,6,1,0,1,0.57047,1
1,1,0,0,0,0.565,1
1,2,1,0,1,0.6516,1
1,6,0,0,1,0.6633,1
1,2,0,0,0,0.62406,1
1,4,0,0,0,0.4853,1
1,3,1,0,1,0.66525,1
1,6,1,0,1,0.49446,1
1,3,0,0,1,0.60502,1
1,5,1,0,1,0.59602,1
1,6,0,0,1,0.47631,1
1,4,1,0,1,0.59334,1
1,4,0,0,0,0.60659,1
1,1,0,0,0,0.78662,1
1,2,0,0,1,1.0446,1
1,1,1,0,0,0.68884,1
1,2,1,0,0,0.5776,1
1,5,0,0,1,1.2315,1
1,3,1,0,0,0.52734,1
1,1,0,0,0,0.44461,1
1,4,1,0,0,0.52116,1
1,6,1,0,0,0.62136,1
1,3,0,0,0,0.45477,1
1,2,1,0,0,0.43234,1
1,2,0,0,0,0.43952,1
1,5,0,0,0,0.41543,1
1,1,1,0,0,0.42737,1
1,4,0,0,0,0.57638,1
1,5,1,0,1,1.7543,1
1,6,0,0,0,0.96105,1
1,6,1,0,1,0.58847,1
1,3,1,0,0,0.94355,1
1,2,1,0,0,0.52076,1
1,2,0,0,0,0.48865,1
1,3,0,0,0,0.56607,1
1,4,0,0,0,0.86057,1
1,5,1,0,1,0.58722,1
1,5,0,0,1,1.7238,1
1,1,1,0,0,0.43655,1
1,4,1,0,0,0.88527,1
1,6,0,0,1,0.68711,1
1,1,0,0,0,0.5586,1
1,3,1,0,0,0.53978,1
1,4,1,0,1,1.185,1
1,3,0,0,0,0.62027,1
1,5,1,0,1,0.79989,1
1,5,0,0,1,0.67875,1
1,2,0,0,1,0.80381,1
1,1,1,0,1,0.6918,1
1,6,1,0,1,0.57719,1
1,4,0,0,1,0.60757,1
1,6,0,0,1,0.51746,1
1,1,0,0,0,0.54857,1
1,2,1,0,0,0.7263,1
1,1,0,0,0,0.51913,1
1,1,1,0,0,0.5339,1
1,3,0,0,0,0.56574,1
1,2,1,0,0,1.4058,1
