Subject,Distance,Context,ClassRef,RT,Vis
1,5,1,0,0.36439,1
1,6,1,1,0.82507,1
1,2,1,0,0.58424,1
1,3,0,0,1.192,1
1,6,0,0,0.66403,1
1,4,0,0,0.57735,1
1,4,1,0,0.43438,1
1,5,0,0,0.40117,1
1,3,1,1,0.59239,1
1,6,0,0,0.76346,1
1,2,0,0,0.43466,1
1,5,0,1,0.80794,1
1,3,1,0,0.63178,1
1,2,1,0,0.60374,1
1,4,0,1,0.66973,1
1,3,0,0,0.67749,1
1,6,1,1,0.71682,1
1,1,0,0,0.55069,1
1,5,1,1,0.63395,1
1,4,1,0,0.49854,1
1,1,1,0,0.41046,1
1,6,0,1,0.6957,1
1,2,0,0,0.37248,1
1,3,1,0,0.44755,1
1,2,1,0,0.43678,1
1,6,1,1,0.78804,1
1,4,0,0,0.55855,1
1,5,0,1,0.7785,1
1,1,0,0,0.7545,1
1,1,1,0,0.50959,1
1,3,0,0,0.53779,1
1,3,1,0,0.54385,1
1,6,0,0,0.73501,1
1,2,0,0,0.71829,1
1,6,1,1,0.51138,1
1,5,0,1,0.51665,1
1,2,1,0,0.61392,1
1,4,0,1,0.65116,1
1,5,1,1,0.87905,1
1,3,0,1,0.68577,1
1,4,1,1,0.44087,1
1,1,1,0,0.6556,1
1,1,0,0,0.56002,1
1,1,1,0,0.53462,1
1,3,0,0,0.43782,1
1,3,1,0,0.44055,1
1,5,0,1,0.65369,1
1,5,1,1,0.47648,1
1,2,1,1,0.64224,1
1,2,0,0,0.51947,1
1,4,1,0,1.0246,1
1,1,0,0,0.67055,1
1,6,1,1,0.62784,1
1,6,0,1,0.55234,1
1,4,0,1,0.43891,1
1,3,1,1,0.60098,1
1,4,0,1,0.69491,1
1,1,1,0,0.58931,1
1,1,0,0,0.51208,1
1,5,0,1,0.60046,1
1,5,1,1,0.47435,1
1,4,1,1,0.38311,1
1,2,0,1,0.38021,1
1,6,1,1,0.38889,1
1,3,0,1,0.37072,1
1,2,1,1,0.44616,1
1,6,0,1,0.33056,1
1,2,1,0,0.56779,1
1,5,0,1,0.47187,1
1,6,1,0,0.3871,1
1,5,1,1,0.46228,1
1,6,0,0,0.67013,1
1,3,1,0,0.42466,1
1,3,0,0,0.37592,1
1,2,0,0,0.39387,1
1,4,0,0,0.33935,1
1,4,1,0,0.32502,1
1,1,0,0,0.33579,1
1,1,1,0,0.32566,1
1,1,0,0,0.31227,1
1,3,0,0,0.42196,1
1,2,1,0,0.35553,1
1,5,1,0,0.43488,1
1,5,0,0,0.33989,1
1,1,1,0,0.28451,1
1,4,0,0,1.0496,1
1,3,1,0,0.51558,1
1,6,1,0,0.80531,1
1,6,0,1,0.6059,1
1,2,0,0,0.60045,1
1,4,1,0,0.68186,1
1,5,0,1,0.64835,1
1,3,1,0,0.53096,1
1,3,0,0,0.96438,1
1,4,1,0,0.68379,1
1,4,0,0,0.58826,1
1,6,1,0,0.39345,1
1,2,1,0,0.49324,1
1,1,0,0,0.40335,1
1,1,1,0,0.37994,1
1,5,1,1,0.58648,1
1,5,0,0,0.547,1
1,5,1,1,0.54926,1
1,3,1,0,0.6803,1
1,4,1,1,0.77745,1
1,3,0,0,0.53856,1
1,6,1,1,0.66026,1
1,2,1,0,0.52226,1
1,1,0,0,0.62081,1
1,6,0,1,0.59869,1
1,2,0,0,0.55129,1
1,1,1,0,0.92854,1
1,3,0,1,0.77653,1
1,2,1,0,0.64625,1
1,5,0,0,0.47074,1
1,6,1,0,0.55268,1
1,4,0,0,0.46739,1
1,1,1,1,0.62923,1
1,2,0,1,1.071,1
1,1,0,0,0.617,1
1,6,0,0,0.49496,1
1,4,1,1,0.55667,1
1,5,1,1,0.6113,1
1,1,0,1,0.83261,1
1,4,1,1,0.41126,1
1,6,0,1,0.43784,1
1,5,1,1,0.40765,1
1,4,0,1,0.37689,1
1,6,1,1,0.48619,1
1,3,1,1,0.60609,1
1,2,1,1,0.57799,1
1,5,0,1,0.74534,1
1,2,0,1,0.47243,1
1,1,1,1,0.45103,1
1,5,0,1,0.50766,1
1,1,1,1,0.31639,1
1,2,0,1,0.36503,1
1,3,1,1,0.47351,1
1,2,1,1,0.31665,1
1,3,0,1,0.3747,1
1,4,0,1,0.33198,1
1,6,0,1,0.38187,1
1,5,1,1,0.3671,1
1,6,1,1,0.36493,1
1,1,0,1,0.34152,1
1,4,1,1,0.30271,1
1,5,0,1,0.47672,1
1,2,0,1,0.43528,1
1,3,0,1,0.63718,1
1,5,1,1,0.43979,1
1,4,0,1,0.36042,1
1,3,1,1,0.34085,1
1,6,0,1,0.32809,1
1,2,1,1,0.37461,1
1,4,1,1,0.34262,1
1,1,0,1,0.36272,1
1,1,1,0,0.89998,1
1,6,1,1,0.46235,1
1,5,0,1,0.33767,1
1,5,1,1,0.53148,1
1,1,0,1,0.53841,1
1,3,0,1,0.5087,1
1,2,0,1,0.53925,1
1,3,1,1,0.44251,1
1,4,0,1,0.4978,1
1,2,1,1,0.63593,1
1,6,0,1,0.65056,1
1,1,1,0,0.55993,1
1,4,1,1,0.50357,1
1,6,1,1,0.42416,1
1,4,0,1,0.37692,1
1,3,0,0,0.41712,1
1,2,1,0,0.59659,1
1,6,1,1,0.6782,1
1,4,1,1,0.48494,1
1,6,0,1,0.37948,1
1,2,0,1,0.73065,1
1,3,1,1,0.62448,1
1,5,1,1,0.37234,1
1,1,1,0,0.5558,1
1,5,0,1,0.47968,1
1,3,1,1,0.63424,1
1,1,0,0,0.57798,1
1,2,1,1,0.598,1
1,2,0,1,0.58664,1
1,3,0,1,0.42766,1
1,6,0,1,0.41778,1
1,4,1,1,0.41407,1
1,4,0,1,0.40825,1
1,5,0,1,0.42019,1
1,5,1,1,0.35537,1
1,1,1,0,0.56999,1
1,6,1,1,0.47787,1
1,2,0,1,0.78848,1
1,1,0,1,0.51554,1
1,3,1,1,0.42891,1
1,3,0,1,0.41883,1
1,1,1,1,0.55663,1
1,5,1,1,0.82419,1
1,6,0,1,0.46741,1
1,2,1,1,0.61397,1
1,4,0,1,0.45048,1
1,5,0,1,0.41766,1
1,4,1,1,0.39688,1
1,4,0,1,0.38107,1
1,1,0,0,0.66144,1
1,2,1,1,0.68798,1
1,2,0,1,0.62138,1
1,5,1,1,0.42862,1
1,3,0,1,0.53107,1
1,6,0,1,0.51564,1
1,3,1,1,0.53349,1
1,5,0,1,0.40739,1
1,4,1,1,0.44183,1
1,6,1,1,0.41846,1
1,3,0,1,0.63976,1
1,2,0,1,0.44236,1
1,4,0,1,0.42081,1
1,5,1,1,0.42809,1
1,6,1,1,0.38934,1
1,5,0,1,0.47534,1
1,1,1,1,1.2067,1
1,1,0,1,0.36502,1
1,4,1,1,0.37639,1
1,2,1,1,0.3783,1
1,3,1,1,0.41079,1
1,6,0,1,0.37336,1
1,5,1,1,0.4033,1
1,1,1,1,1.3811,1
1,5,0,1,0.38839,1
1,6,0,1,0.50723,1
1,4,1,1,0.45709,1
1,2,1,1,0.49497,1
1,1,0,1,0.42677,1
1,4,0,1,0.4873,1
1,3,0,1,0.34445,1
1,3,1,1,0.33194,1
1,6,1,1,0.33232,1
1,2,0,1,0.26833,1
1,1,1,1,0.30427,1
1,2,0,1,0.31031,1
1,3,0,1,0.28712,1
1,3,1,1,0.36061,1
1,1,0,1,0.8679,1
1,4,0,1,0.35494,1
1,2,1,1,0.31286,1
1,5,0,1,0.31006,1
1,4,1,1,0.324,1
1,5,1,1,0.30525,1
1,6,1,1,0.4212,1
1,3,0,1,0.3526,1
1,5,1,1,0.25976,1
1,6,1,1,0.25286,1
1,1,1,1,0.28614,1
1,4,0,1,0.33682,1
1,6,0,1,0.38541,1
1,2,0,1,0.32915,1
1,2,1,1,0.34215,1
1,5,0,1,0.41188,1
1,4,1,1,0.34249,1
1,3,1,1,1.3111,1
1,2,0,0,0.64298,1
1,5,1,1,0.49963,1
1,6,0,1,0.60548,1
1,2,1,1,0.93539,1
1,5,0,1,0.47469,1
1,1,1,0,0.54237,1
1,3,1,1,0.39288,1
1,5,1,1,0.3303,1
