Subject,Distance,Context,Condition,ClassRef,RT,Vis
4,6,1,0,1,0.23072,1
4,5,1,0,1,0.20527,1
5,1,1,0,0,1.0804,1
5,6,0,0,1,1.0304,1
5,3,0,0,1,1.7356,1
5,2,0,0,1,1.2454,1
5,4,1,0,0,NaN,1
5,5,0,0,1,1.7591,1
5,1,0,0,1,1.8809,1
5,2,1,0,0,0.84685,1
5,4,0,0,1,1.06,1
5,6,1,0,0,1.1591,1
5,3,1,0,0,0.7616,1
5,5,1,0,0,0.70765,1
5,4,0,0,1,0.94496,1
5,5,0,0,1,0.98528,1
5,1,1,0,0,0.75013,1
5,3,0,0,1,0.72793,1
5,2,1,0,0,0.71776,1
5,5,1,0,0,0.84172,1
5,6,0,0,1,0.66821,1
5,6,1,0,0,0.70222,1
5,1,0,0,1,0.7174,1
5,3,1,0,0,0.75521,1
5,4,1,0,0,1.096,1
5,2,0,0,1,0.97777,1
5,4,1,0,0,0.70833,1
5,1,0,0,1,0.87225,1
5,5,1,0,0,1.8128,1
5,3,1,0,0,1.0229,1
5,6,1,0,0,0.99508,1
5,6,0,0,1,0.74204,1
5,4,0,0,1,0.66973,1
5,1,1,0,0,0.739,1
5,3,0,0,1,0.64698,1
5,2,0,0,1,0.6756,1
5,2,1,0,0,0.62801,1
5,5,0,0,1,1.036,1
5,2,1,0,0,0.73783,1
5,5,0,0,1,0.62689,1
5,5,1,0,0,0.63412,1
5,1,0,0,1,0.91408,1
5,2,0,0,1,0.89357,1
5,4,0,0,1,0.71265,1
5,6,1,0,0,0.95266,1
5,3,0,0,1,0.74004,1
5,4,1,0,0,0.87577,1
5,1,1,0,0,0.72441,1
5,6,0,0,1,0.69889,1
5,3,1,0,0,0.6341,1
5,6,0,0,1,0.80523,1
5,6,1,0,0,0.69274,1
5,2,0,0,1,0.86965,1
5,5,0,0,0,1.5344,1
5,2,1,0,1,1.0763,1
5,1,1,0,0,1.129,1
5,3,0,0,0,1.1001,1
5,1,0,0,0,0.87534,1
5,4,0,0,0,1.0172,1
5,3,1,0,0,1.183,1
5,5,1,0,1,1.4476,1
5,4,1,0,1,0.69136,1
5,1,0,0,1,1.0754,1
5,1,1,0,0,0.71507,1
5,4,0,0,1,0.75117,1
5,6,1,0,1,0.87818,1
5,6,0,0,0,0.66974,1
5,5,1,0,1,1.1495,1
5,2,1,0,1,0.84072,1
