Subject,Distance,Is_Let,Is_Num,Resp13,RT,Vis
1,5,0,0,0,0.58734,1
1,2,0,0,1,0.71392,1
1,2,1,0,0,0.92148,1
1,2,1,0,0,0.60331,1
1,1,0,0,0,0.60298,1
1,1,1,0,0,0.70892,1
1,4,0,0,0,0.64803,1
1,5,0,0,0,0.66254,1
1,6,1,0,1,0.81975,1
1,3,0,0,0,0.66712,1
1,6,0,1,1,0.83218,1
1,4,1,0,1,0.6821,1
1,1,0,0,1,0.73418,1
1,1,0,0,0,0.67106,1
1,3,1,0,1,0.80849,1
1,1,1,0,0,0.74898,1
1,2,0,1,0,0.70096,1
1,2,0,1,1,1.1281,1
1,4,1,0,1,0.90316,1
1,5,1,0,1,0.79212,1
1,1,0,1,0,0.82171,1
1,3,0,0,0,0.76102,1
1,3,0,0,0,0.81024,1
1,3,1,0,1,0.68947,1
1,4,0,1,1,0.94201,1
1,2,1,0,0,0.77878,1
1,4,1,0,1,1.0091,1
1,2,0,0,0,0.76734,1
1,1,0,1,0,0.66448,1
1,1,1,0,0,0.70606,1
1,3,0,0,0,0.6667,1
1,6,1,0,0,0.64515,1
1,1,1,0,0,0.6898,1
1,2,0,1,0,0.71623,1
1,2,0,1,0,0.67952,1
1,4,0,0,0,0.71262,1
1,1,1,0,0,0.76734,1
1,3,1,0,0,0.78517,1
1,6,0,0,0,0.74137,1
1,1,0,0,1,0.63795,1
1,1,0,0,1,0.74889,1
1,4,0,1,1,0.74001,1
1,1,0,1,1,0.72265,1
1,4,0,1,1,0.84715,1
1,3,0,0,0,0.69108,1
1,2,0,1,0,0.6691,1
1,3,0,1,0,0.77962,1
1,4,1,0,1,0.78018,1
1,3,0,0,0,0.70583,1
1,4,0,0,0,0.77977,1
1,6,0,0,0,0.71377,1
1,2,0,1,0,0.7504,1
1,6,0,1,0,0.78547,1
1,4,1,0,1,0.78612,1
1,4,0,1,1,0.8395,1
1,1,0,0,1,0.79536,1
1,2,1,0,1,0.8532,1
1,1,0,1,1,0.74492,1
1,5,0,1,1,0.751,1
1,6,1,0,1,0.78753,1
1,5,0,1,0,0.70233,1
1,2,1,0,1,0.75647,1
1,1,0,0,0,0.89297,1
1,3,1,0,1,0.71415,1
1,2,0,1,1,0.71303,1
1,2,1,0,1,0.68991,1
1,3,0,1,1,0.67594,1
1,4,1,0,0,0.8691,1
1,5,0,0,1,1.213,1
1,2,0,0,0,0.74147,1
1,3,0,1,0,0.75731,1
1,5,1,0,1,0.83326,1
1,4,0,1,0,0.7539,1
1,5,1,0,1,0.76182,1
1,1,1,0,1,0.72895,1
1,4,0,0,1,0.89016,1
1,3,1,0,0,0.71204,1
1,2,0,0,0,0.63532,1
1,4,0,1,0,0.60164,1
1,1,0,1,0,0.60898,1
1,3,0,1,0,0.58631,1
1,2,0,1,0,0.74318,1
1,4,0,0,0,0.69596,1
1,1,0,0,0,1.1012,1
1,3,1,0,0,0.74529,1
1,3,0,0,0,0.74515,1
1,3,1,0,1,1.1636,1
1,4,1,0,1,0.68216,1
1,6,1,0,1,0.57358,1
1,4,1,0,0,0.62208,1
1,1,0,0,0,0.59662,1
1,4,0,0,1,0.65914,1
1,2,1,0,1,0.83997,1
1,5,0,1,1,0.82751,1
1,3,0,0,0,0.9714,1
1,4,1,0,0,1.5358,1
1,3,0,0,1,1.1695,1
1,6,0,0,1,0.76718,1
1,6,0,1,1,0.82162,1
1,5,0,1,0,1.1723,1
1,5,1,0,1,0.82288,1
1,2,0,0,0,1.2818,1
1,4,0,0,0,0.7741,1
1,5,0,0,1,0.83487,1
1,2,0,0,0,0.80309,1
1,6,0,1,1,0.85248,1
1,1,0,1,0,0.8265,1
1,5,0,0,0,1.1506,1
1,5,1,0,1,0.7793,1
