Subject,Distance,Context,Style,Item,ClassRef,RT,Vis
1,2,0,0,10,0,1.9832,4
1,1,1,0,8,1,1.0116,4
1,3,1,0,7,1,0.90977,4
1,1,0,0,10,0,1.4569,4
1,1,0,0,8,0,0.94126,4
1,2,0,0,7,1,1.2554,4
1,3,0,0,11,0,1.8172,4
1,3,1,0,8,1,0.9016,4
1,2,0,0,10,0,1.2179,4
1,2,1,0,11,1,1.088,4
1,3,0,0,8,0,0.95265,4
1,2,0,0,9,0,1.147,4
1,3,1,0,9,1,0.96893,4
1,1,1,0,10,1,1.0388,4
1,2,0,0,12,1,1.4868,4
1,3,1,0,10,1,0.92717,4
1,1,1,0,11,1,1.679,4
1,3,1,0,8,0,1.1909,4
1,3,0,0,11,0,1.6793,4
1,3,0,0,7,1,1.1494,4
1,3,0,0,10,0,1.3072,4
1,1,1,0,7,1,0.82564,4
1,2,0,0,11,1,1.052,4
1,2,1,0,7,1,1.5214,4
1,1,0,0,12,1,1.7476,3
1,1,1,0,8,1,0.93438,4
1,1,0,0,7,1,1.253,3
1,3,0,0,12,1,1.466,3
1,3,1,0,7,1,1.6493,4
1,2,1,0,12,1,1.5578,3
1,1,0,0,8,0,1.0097,4
1,1,1,0,9,1,0.8843,4
1,2,1,0,8,1,0.82074,4
1,3,1,0,12,1,1.4318,4
1,2,1,0,10,1,0.94917,4
1,1,0,0,11,0,1.3424,4
1,1,0,0,9,0,0.99234,4
1,1,0,0,10,1,1.0642,4
1,2,0,0,7,1,1.5907,3
1,3,0,0,9,0,1.3071,4
1,2,0,0,8,0,0.97184,4
1,2,1,0,9,1,0.96514,4
1,3,1,0,11,1,1.043,4
1,1,1,0,12,1,1.3882,4
1,2,1,0,7,1,0.85109,4
1,1,1,0,9,1,0.86238,4
1,3,0,0,12,1,1.0582,3
1,3,1,0,10,1,0.85054,4
1,2,0,0,11,0,1.9186,4
1,2,0,0,9,0,1.0605,4
1,2,0,0,8,0,1.1263,4
1,1,0,0,9,0,1.6462,4
1,2,1,0,12,1,1.2568,4
1,3,0,0,8,0,1.0566,4
1,3,1,0,11,1,1.2992,4
1,2,0,0,10,1,1.2377,4
1,1,0,0,11,0,1.2275,4
1,2,0,0,12,1,1.0918,3
1,1,1,0,8,1,0.88316,4
1,3,0,0,10,0,1.3244,4
1,1,1,0,7,1,0.82953,4
1,3,1,0,9,1,1.1261,4
1,3,1,0,7,1,0.81917,4
1,1,0,0,12,1,1.0445,3
1,2,1,0,11,1,1.0931,4
1,2,0,0,7,1,1.301,4
1,3,0,0,9,0,1.0816,4
1,1,0,0,10,0,1.1354,4
1,1,1,0,12,1,1.0452,4
1,2,1,0,10,1,1.1799,4
1,3,0,0,7,1,0.95441,4
1,2,1,0,9,1,0.93886,4
1,1,1,0,10,1,0.87891,4
1,3,1,0,8,1,1.4461,4
1,3,0,0,11,1,1.2599,3
1,3,1,0,12,1,1.0805,3
1,1,0,0,8,0,1.1289,4
1,1,0,0,7,1,1.1822,3
1,1,1,0,11,1,1.0833,4
