Subject,Distance,Is_Let,Is_Num,Resp13,RT,Vis
1,2,0,1,1,0.71959,4
1,3,0,1,1,0.64277,4
1,3,0,0,1,0.83643,4
1,2,1,0,0,0.56462,4
1,5,1,0,0,0.59885,4
1,4,0,1,1,0.53577,4
1,1,0,0,0,1.7413,4
1,4,0,0,1,0.81683,4
1,1,0,0,0,0.67416,4
1,2,1,0,0,0.55537,4
1,4,0,0,0,0.87552,4
1,5,0,1,1,1.1798,4
1,6,0,0,1,0.8215,1
1,1,0,1,1,0.94109,1
1,4,0,1,1,0.62263,1
1,4,0,1,1,0.81934,1
1,3,0,0,1,0.559,4
1,6,1,0,0,0.60325,4
1,3,1,0,0,0.81048,4
1,1,0,0,1,0.79873,4
1,2,0,1,1,1.3279,4
1,4,1,0,0,0.82626,4
1,2,0,1,1,0.68871,4
1,5,0,1,1,0.77604,4
1,1,0,0,1,0.78536,4
1,1,0,1,1,0.70625,4
1,4,0,0,1,1.0191,4
1,3,0,1,1,0.78219,4
1,1,0,1,1,0.50329,4
1,5,0,0,1,0.56865,4
1,5,1,0,0,0.58053,4
1,4,1,0,0,0.64739,4
1,2,1,0,0,0.6686,4
1,3,0,1,1,0.76548,4
1,5,1,0,0,1.2098,4
1,1,1,0,1,1.0283,4
1,1,0,1,1,0.90814,4
1,4,0,0,1,0.96891,4
1,3,0,0,1,0.53489,4
1,4,0,0,1,0.62063,4
1,2,0,1,1,1.8784,4
1,6,0,1,1,0.85713,4
1,1,1,0,1,0.60469,4
1,3,0,1,1,1.0748,4
1,1,0,0,0,1.0872,4
1,1,0,0,0,0.53795,4
1,4,1,0,0,0.72583,4
1,1,1,0,0,0.59862,4
1,5,0,0,1,0.55548,4
1,1,0,1,0,1.9109,4
1,3,1,0,0,0.61159,4
1,2,0,0,0,0.54933,4
1,3,0,1,0,0.7711,4
1,5,0,1,1,0.95324,4
1,2,0,1,1,0.65224,4
1,5,0,0,1,0.50447,4
1,5,1,0,1,0.63934,4
1,2,1,0,1,0.50993,4
1,6,0,1,0,0.69567,4
1,4,0,0,1,0.599,4
1,1,0,0,0,0.74539,4
1,4,1,0,0,0.58193,4
1,4,1,0,0,0.7102,4
1,2,0,0,1,0.66793,4
1,6,0,1,1,0.9059,4
1,1,0,0,1,1.2333,4
1,5,0,0,1,0.61961,4
1,4,0,0,1,0.5837,4
1,1,1,0,0,0.78529,4
1,1,1,0,0,0.98702,1
1,4,1,0,0,0.60597,4
1,3,0,1,1,0.58665,4
1,6,0,1,1,0.47729,4
1,6,0,1,1,0.52416,4
1,2,1,0,1,0.62984,4
1,5,0,1,0,0.53908,4
1,3,0,1,1,0.84947,4
1,3,1,0,0,0.5307,4
1,6,1,0,0,0.54465,4
1,5,0,1,1,0.69947,4
1,2,1,0,0,0.55527,4
1,5,0,0,1,0.69286,4
1,2,1,0,0,0.528,4
1,2,0,1,0,1.2733,4
1,3,0,1,1,0.54191,4
1,1,1,0,0,0.50275,4
