"","id","cond","aware","addcno","addino","addnooutliers","addcrx","addclrx","addirx","addilrx","subcno","subino","subnooutliers","subcrx","subclrx","subirx","subilrx","Purpose","ExplicitAware","Type","pass","completeunaware","awareness","eye","block","filter_$","addpro","subpro","addout","subout"
"39",1075,3,0.5,32,28,57,561.4333333,6.320688072,616.0740741,6.416594524,24,24,46,581.826087,6.362317475,561.3913043,6.320935051,2,2,0,1,1,1,0,0,1,0.9375,1,0.890625,0.958333333333333
"40",1076,2,0.515625,32,32,64,582.96875,6.360335934,574.71875,6.347251322,24,24,47,617.75,6.422187054,610.6521739,6.410484376,2,2,0,1,1,1,1,1,1,1,1,1,0.979166666666667
"41",1077,4,0.5,32,31,62,524.3870968,6.258605164,494.7741935,6.197910873,24,24,48,494.0833333,6.197036095,493.2916667,6.197774429,2,2,0,1,1,1,1,0,1,0.984375,1,0.96875,1
"42",1078,1,0.5,32,32,64,679.84375,6.511142394,653.78125,6.471223581,24,24,47,689.4166667,6.524308484,640.4782609,6.458039605,2,2,0,1,1,1,0,1,1,1,1,1,0.979166666666667
"43",1079,4,0.5,32,32,60,622.3666667,6.429101309,644.4333333,6.464037403,24,24,47,586.8695652,6.369966412,620.625,6.425177062,2,2,0,1,1,1,1,0,1,1,1,0.9375,0.979166666666667
"44",1080,4,0.421875,32,32,59,693.6,6.530941045,684.8275862,6.503732344,24,24,44,762.0434783,6.627553115,762.1904762,6.626626038,2,2,0,1,1,1,1,0,1,1,1,0.921875,0.916666666666667
"45",1083,2,0.484375,32,32,52,782.3846154,6.654363663,750.4230769,6.615774261,24,24,47,626.4166667,6.429279065,646,6.467677066,2,2,0,1,1,1,1,1,1,1,1,0.8125,0.979166666666667
"46",1085,2,0.5,31,31,60,635.4,6.437441216,662.8333333,6.472732878,24,24,47,538.3913043,6.284611463,546.75,6.297674035,2,2,2,1,1,1,1,1,1,0.96875,1,0.9375,0.979166666666667
"47",1086,2,0.53125,32,32,60,616.137931,6.413867582,570.8064516,6.337034597,24,24,47,546.5217391,6.288552232,520.2916667,6.245458488,2,2,0,1,1,1,1,1,1,1,1,0.9375,0.979166666666667
"48",1087,4,0.484375,32,32,59,549.6551724,6.297951119,548.5333333,6.295136177,24,24,46,564.9583333,6.329247571,582.3181818,6.362288917,2,2,0,1,1,1,1,0,1,1,1,0.921875,0.958333333333333
